[repair] benchmark: manybugs
[repair] subject: php
[repair] version: 2011-02-01-01745fa657-1f49902999
[repair] search: guided
[repair] ./fetch php manybugs 2011-02-01-01745fa657-1f49902999
[fetch] benchmark: manybugs
[fetch] subject: php
[fetch] version: 2011-02-01-01745fa657-1f49902999
[fetch] archive: php-bug-2011-02-01-01745fa657-1f49902999.tar.gz
[fetch] directory: php-bug-2011-02-01-01745fa657-1f49902999
[fetch] preparing source code
[fetch] golden_directory: php-fix-2011-02-01-01745fa657-1f49902999
[fetch] clean-source php-bug-2011-02-01-01745fa657-1f49902999
[fetch] /angelix-experiments/php-bug-2011-02-01-01745fa657-1f49902999/php/configure
[fetch] make -j 72 clean
[fetch] clean-source php-fix-2011-02-01-01745fa657-1f49902999
[fetch] restore-buggy php-bug-2011-02-01-01745fa657-1f49902999
[fetch] /angelix-experiments/php-fix-2011-02-01-01745fa657-1f49902999/php/configure
[fetch] make -j 72 clean
[fetch] restore-buggy entered
[fetch] buggy: main/streams/userspace.c
[fetch] buggy_version: 01745fa657
[fetch] buggy_preprocessed: php-bug-2011-02-01-01745fa657-1f49902999/php/main/streams/userspace.c
[fetch] buggy_original: php-bug-2011-02-01-01745fa657-1f49902999/diffs/main/streams/userspace.c-01745fa657a9b3f8a8f79520a87c265ec3725792
[fetch] cp php-bug-2011-02-01-01745fa657-1f49902999/diffs/main/streams/userspace.c-01745fa657a9b3f8a8f79520a87c265ec3725792 php-bug-2011-02-01-01745fa657-1f49902999/php/main/streams/userspace.c
[fetch] restore-correct php-fix-2011-02-01-01745fa657-1f49902999
[fetch] restore-correct entered
[fetch] cp php-fix-2011-02-01-01745fa657-1f49902999/diffs/main/streams/userspace.c-1f4990299927a9fdf24676ebbd1c7f6729aa3838 php-fix-2011-02-01-01745fa657-1f49902999/php/main/streams/userspace.c
[fetch] restored php-fix-2011-02-01-01745fa657-1f49902999/php/main/streams/userspace.c with php-fix-2011-02-01-01745fa657-1f49902999/diffs/main/streams/userspace.c-1f4990299927a9fdf24676ebbd1c7f6729aa3838
[fetch] fetch done
[repair] [repair] options: --angelic-search-strategy
guided
--defect
if-conditions
loop-conditions
--search-max-trials
100
--max-same-cost-iter
20
--default-max-cost
300000000
--default-non-zero-cost
300000000
--error-cost
10000000
--warning-cost
5000000
--one-bit-flip-prob
0.5
--penalty1
4
--penalty2
2
--synthesis-ptr-vars
--lines
911
--ignore-lines
--use-gcc  --timeout 14400 --show-suspicious-locations --group-size 1 --defect if-conditions loop-conditions
[repair-php] restore .aux/php/php-run-tests.c
[repair-php] restore php-bug-2011-02-01-01745fa657-1f49902999/php/main/main.c
[repair-php] restore php-bug-2011-02-01-01745fa657-1f49902999/php/sapi/cli/php_cli.c
[repair-php] restore php-bug-2011-02-01-01745fa657-1f49902999/php/Zend/zend.c
[repair-php] restore php-bug-2011-02-01-01745fa657-1f49902999/php/main/output.c
[repair-php] restore php-bug-2011-02-01-01745fa657-1f49902999/php/ext/standard/url_scanner_ex.c
[repair-php] restore php-bug-2011-02-01-01745fa657-1f49902999/php/Zend/zend_object_handlers.c
[repair-php] restore php-bug-2011-02-01-01745fa657-1f49902999/php/main/output.c
[repair-php] restore php-fix-2011-02-01-01745fa657-1f49902999/php/main/main.c
[repair-php] restore php-fix-2011-02-01-01745fa657-1f49902999/php/sapi/cli/php_cli.c
[repair-php] restore php-fix-2011-02-01-01745fa657-1f49902999/php/Zend/zend.c
[repair-php] restore php-fix-2011-02-01-01745fa657-1f49902999/php/main/output.c
[repair-php] restore php-fix-2011-02-01-01745fa657-1f49902999/php/ext/standard/url_scanner_ex.c
[repair-php] restore php-fix-2011-02-01-01745fa657-1f49902999/php/Zend/zend_object_handlers.c
[repair-php] restore php-fix-2011-02-01-01745fa657-1f49902999/php/main/output.c
[repair-php] options:  --angelic-search-strategy guided --defect if-conditions loop-conditions --search-max-trials 100 --max-same-cost-iter 20 --default-max-cost 300000000 --default-non-zero-cost 300000000 --error-cost 10000000 --warning-cost 5000000 --one-bit-flip-prob 0.5 --penalty1 4 --penalty2 2 --synthesis-ptr-vars --lines 911 --ignore-lines --use-gcc --timeout 14400 --show-suspicious-locations --group-size 1 --defect if-conditions loop-conditions
INFO     testing         running test '24' of golden source
INFO     testing         output code: 1
INFO     testing         running test '25' of golden source
INFO     testing         output code: 1
INFO     testing         running test '26' of golden source
INFO     testing         output code: 1
INFO     testing         running test '27' of golden source
INFO     testing         output code: 1
INFO     testing         running test '28' of golden source
INFO     testing         output code: 1
INFO     testing         running test '29' of golden source
INFO     testing         output code: 1
INFO     testing         running test '30' of golden source
INFO     testing         output code: 1
INFO     testing         running test '32' of golden source
INFO     testing         output code: 1
INFO     testing         running test '33' of golden source
INFO     testing         output code: 1
INFO     testing         running test '34' of golden source
INFO     testing         output code: 1
INFO     testing         running test '35' of golden source
INFO     testing         output code: 1
INFO     testing         running test '36' of golden source
INFO     testing         output code: 1
INFO     testing         running test '37' of golden source
INFO     testing         output code: 1
INFO     testing         running test '38' of golden source
INFO     testing         output code: 1
INFO     testing         running test '39' of golden source
INFO     testing         output code: 1
INFO     testing         running test '40' of golden source
INFO     testing         output code: 1
INFO     testing         running test '41' of golden source
INFO     testing         output code: 1
INFO     testing         running test '42' of golden source
INFO     testing         output code: 1
INFO     testing         running test '43' of golden source
INFO     testing         output code: 1
INFO     testing         running test '44' of golden source
INFO     testing         output code: 1
INFO     testing         running test '45' of golden source
INFO     testing         output code: 1
INFO     testing         running test '46' of golden source
INFO     testing         output code: 1
INFO     testing         running test '47' of golden source
INFO     testing         output code: 1
INFO     testing         running test '50' of golden source
INFO     testing         output code: 1
INFO     testing         running test '51' of golden source
INFO     testing         output code: 1
INFO     testing         running test '52' of golden source
INFO     testing         output code: 1
INFO     testing         running test '53' of golden source
INFO     testing         output code: 1
INFO     testing         running test '54' of golden source
INFO     testing         output code: 1
INFO     testing         running test '55' of golden source
INFO     testing         output code: 1
INFO     testing         running test '56' of golden source
INFO     testing         output code: 1
INFO     testing         running test '57' of golden source
INFO     testing         output code: 1
INFO     testing         running test '58' of golden source
INFO     testing         output code: 1
INFO     testing         running test '59' of golden source
INFO     testing         output code: 1
INFO     testing         running test '60' of golden source
INFO     testing         output code: 1
INFO     testing         running test '61' of golden source
INFO     testing         output code: 1
INFO     testing         running test '62' of golden source
INFO     testing         output code: 0
INFO     testing         running test '71' of golden source
INFO     testing         output code: 1
INFO     testing         running test '72' of golden source
INFO     testing         output code: 1
INFO     testing         running test '73' of golden source
INFO     testing         output code: 1
WARNING  repair          excluding test 2 because it fails in golden version
WARNING  repair          excluding test 4 because it fails in golden version
WARNING  repair          excluding test 5 because it fails in golden version
WARNING  repair          excluding test 7 because it fails in golden version
WARNING  repair          excluding test 8 because it fails in golden version
WARNING  repair          excluding test 9 because it fails in golden version
WARNING  repair          excluding test 10 because it fails in golden version
WARNING  repair          excluding test 11 because it fails in golden version
WARNING  repair          excluding test 12 because it fails in golden version
WARNING  repair          excluding test 13 because it fails in golden version
WARNING  repair          excluding test 14 because it fails in golden version
WARNING  repair          excluding test 15 because it fails in golden version
WARNING  repair          excluding test 16 because it fails in golden version
WARNING  repair          excluding test 17 because it fails in golden version
WARNING  repair          excluding test 18 because it fails in golden version
WARNING  repair          excluding test 19 because it fails in golden version
WARNING  repair          excluding test 20 because it fails in golden version
WARNING  repair          excluding test 21 because it fails in golden version
WARNING  repair          excluding test 22 because it fails in golden version
WARNING  repair          excluding test 23 because it fails in golden version
WARNING  repair          excluding test 24 because it fails in golden version
WARNING  repair          excluding test 25 because it fails in golden version
WARNING  repair          excluding test 26 because it fails in golden version
WARNING  repair          excluding test 27 because it fails in golden version
WARNING  repair          excluding test 28 because it fails in golden version
WARNING  repair          excluding test 29 because it fails in golden version
WARNING  repair          excluding test 30 because it fails in golden version
WARNING  repair          excluding test 32 because it fails in golden version
WARNING  repair          excluding test 33 because it fails in golden version
WARNING  repair          excluding test 34 because it fails in golden version
WARNING  repair          excluding test 35 because it fails in golden version
WARNING  repair          excluding test 36 because it fails in golden version
WARNING  repair          excluding test 37 because it fails in golden version
WARNING  repair          excluding test 38 because it fails in golden version
WARNING  repair          excluding test 39 because it fails in golden version
WARNING  repair          excluding test 40 because it fails in golden version
WARNING  repair          excluding test 41 because it fails in golden version
WARNING  repair          excluding test 42 because it fails in golden version
WARNING  repair          excluding test 43 because it fails in golden version
WARNING  repair          excluding test 44 because it fails in golden version
WARNING  repair          excluding test 45 because it fails in golden version
WARNING  repair          excluding test 46 because it fails in golden version
WARNING  repair          excluding test 47 because it fails in golden version
WARNING  repair          excluding test 50 because it fails in golden version
WARNING  repair          excluding test 51 because it fails in golden version
WARNING  repair          excluding test 52 because it fails in golden version
WARNING  repair          excluding test 53 because it fails in golden version
WARNING  repair          excluding test 54 because it fails in golden version
WARNING  repair          excluding test 55 because it fails in golden version
WARNING  repair          excluding test 56 because it fails in golden version
WARNING  repair          excluding test 57 because it fails in golden version
WARNING  repair          excluding test 58 because it fails in golden version
WARNING  repair          excluding test 59 because it fails in golden version
WARNING  repair          excluding test 60 because it fails in golden version
WARNING  repair          excluding test 61 because it fails in golden version
WARNING  repair          excluding test 71 because it fails in golden version
WARNING  repair          excluding test 72 because it fails in golden version
WARNING  repair          excluding test 73 because it fails in golden version
INFO     repair          positive: ['1', '3', '6', '31', '48', '49', '63', '64', '65', '66', '67', '68', '69', '70', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85']
INFO     repair          negative: ['62']
INFO     project         configuring frontend source
INFO     transformation  instrumenting repairable of frontend source
INFO     project         building frontend source
INFO     repair          running positive tests for debugging
INFO     testing         running test '1' of frontend source
INFO     testing         output code: 0
INFO     testing         running test '3' of frontend source
INFO     testing         output code: 0
INFO     testing         running test '6' of frontend source
INFO     testing         output code: 0
INFO     testing         running test '31' of frontend source
INFO     testing         output code: 0
INFO     testing         running test '48' of frontend source
INFO     testing         output code: 0
INFO     testing         running test '49' of frontend source
INFO     testing         output code: 0
INFO     testing         running test '63' of frontend source
INFO     testing         output code: 0
INFO     testing         running test '64' of frontend source
INFO     testing         output code: 0
INFO     testing         running test '65' of frontend source
INFO     testing         output code: 0
INFO     testing         running test '66' of frontend source
INFO     testing         output code: 0
INFO     testing         running test '67' of frontend source
INFO     testing         output code: 0
INFO     testing         running test '68' of frontend source
INFO     testing         output code: 0
INFO     testing         running test '69' of frontend source
INFO     testing         output code: 0
INFO     testing         running test '70' of frontend source
INFO     testing         output code: 0
INFO     testing         running test '74' of frontend source
INFO     testing         output code: 0
INFO     testing         running test '75' of frontend source
INFO     testing         output code: 0
INFO     testing         running test '76' of frontend source
INFO     testing         output code: 0
INFO     testing         running test '77' of frontend source
INFO     testing         output code: 0
INFO     testing         running test '78' of frontend source
INFO     testing         output code: 0
INFO     testing         running test '79' of frontend source
INFO     testing         output code: 0
INFO     testing         running test '80' of frontend source
INFO     testing         output code: 0
INFO     testing         running test '81' of frontend source
INFO     testing         output code: 0
INFO     testing         running test '82' of frontend source
INFO     testing         output code: 0
INFO     testing         running test '83' of frontend source
INFO     testing         output code: 0
INFO     testing         running test '84' of frontend source
INFO     testing         output code: 0
INFO     testing         running test '85' of frontend source
INFO     testing         output code: 0
INFO     repair          running negative tests for debugging
INFO     testing         running test '62' of frontend source
INFO     testing         output code: 1
INFO     project         configuring golden source
INFO     project         building golden source
INFO     testing         running test '62' of golden source
INFO     testing         output code: 0
INFO     repair          repair test suite: ['1', '3', '6', '31', '48', '49', '62', '63', '64', '65', '66', '67', '68', '69', '70', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85']
INFO     repair          validation test suite: ['1', '3', '6', '31', '48', '49', '62', '63', '64', '65', '66', '67', '68', '69', '70', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85']
INFO     localization    (loc, score) = (('I', (376, 6, 376, 43)), 1.0)
INFO     localization    (loc, score) = (('I', (398, 6, 398, 6)), 1.0)
INFO     localization    (loc, score) = (('I', (340, 6, 340, 6)), 1.0)
INFO     localization    (loc, score) = (('I', (278, 6, 278, 42)), 1.0)
INFO     localization    (loc, score) = (('I', (304, 6, 304, 17)), 1.0)
INFO     localization    (loc, score) = (('I', (394, 6, 394, 16)), 1.0)
INFO     localization    (loc, score) = (('I', (918, 6, 918, 42)), 1.0)
INFO     localization    (loc, score) = (('I', (771, 6, 771, 6)), 1.0)
INFO     localization    (loc, score) = (('I', (739, 6, 739, 6)), 1.0)
INFO     localization    (loc, score) = (('I', (928, 6, 928, 6)), 1.0)
INFO     localization    (loc, score) = (('I', (289, 5, 289, 30)), 1.0)
INFO     localization    (loc, score) = (('I', (766, 6, 766, 42)), 1.0)
INFO     localization    group 1: [('I', (278, 6, 278, 42))] (1.0)
INFO     localization    group 2: [('I', (289, 5, 289, 30))] (1.0)
INFO     localization    group 3: [('I', (304, 6, 304, 17))] (1.0)
INFO     localization    group 4: [('I', (340, 6, 340, 6))] (1.0)
INFO     localization    group 5: [('I', (376, 6, 376, 43))] (1.0)
INFO     localization    group 6: [('I', (394, 6, 394, 16))] (1.0)
INFO     localization    group 7: [('I', (398, 6, 398, 6))] (1.0)
INFO     localization    group 8: [('I', (739, 6, 739, 6))] (1.0)
INFO     localization    group 9: [('I', (766, 6, 766, 42))] (1.0)
INFO     localization    group 10: [('I', (771, 6, 771, 6))] (1.0)
INFO     localization    group 11: [('I', (918, 6, 918, 42))] (1.0)
INFO     localization    group 12: [('I', (928, 6, 928, 6))] (1.0)
INFO     localization    selected expressions [('I', (278, 6, 278, 42))] with group score 1.0 
INFO     localization    selected expressions [('I', (289, 5, 289, 30))] with group score 1.0 
INFO     localization    selected expressions [('I', (304, 6, 304, 17))] with group score 1.0 
INFO     localization    selected expressions [('I', (340, 6, 340, 6))] with group score 1.0 
INFO     localization    selected expressions [('I', (376, 6, 376, 43))] with group score 1.0 
INFO     localization    selected expressions [('I', (394, 6, 394, 16))] with group score 1.0 
INFO     localization    selected expressions [('I', (398, 6, 398, 6))] with group score 1.0 
INFO     localization    selected expressions [('I', (739, 6, 739, 6))] with group score 1.0 
INFO     localization    selected expressions [('I', (766, 6, 766, 42))] with group score 1.0 
INFO     localization    selected expressions [('I', (771, 6, 771, 6))] with group score 1.0 
INFO     localization    selected expressions [('I', (918, 6, 918, 42))] with group score 1.0 
INFO     localization    selected expressions [('I', (928, 6, 928, 6))] with group score 1.0 
INFO     repair          considering suspicious locations [('I', (278, 6, 278, 42))]
INFO     reduction       all failing tests: ['62']
INFO     reduction       select 1 best tests from ['62']
INFO     reduction       select 0 best tests from ['1', '3', '6', '31', '48', '49', '63', '64', '65', '66', '67', '68', '69', '70', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85']
INFO     reduction       selected 1 tests
INFO     reduction       selected passing tests: []
INFO     reduction       selected failing tests: ['62']
INFO     guided_infer    inferring specification for test '62' through guided search
INFO     guided_infer    init sample: [array([0, 0])]
INFO     pymc3           Sequential sampling (1 chains in 1 job)
INFO     pymc3           Metropolis: [p]
INFO     guided_infer    trial #1
INFO     guided_infer    used 0.0% of sample space
INFO     testing         running test '62' of frontend source
INFO     testing         output code: 1
INFO     guided_infer    old cost: 63.128491620112
INFO     guided_infer    new cost: 63.128491620112
INFO     guided_infer    all costs: [63.128491620112]
INFO     guided_infer    accept ratio: 1.0
INFO     pymc3           accepted: True
INFO     guided_infer    trial #2
INFO     guided_infer    used 50.0% of sample space
INFO     guided_infer    old cost: 63.128491620112
INFO     guided_infer    new cost: 63.128491620112
INFO     guided_infer    all costs: [63.128491620112]
INFO     guided_infer    accept ratio: 1.0
INFO     pymc3           accepted: True
INFO     guided_infer    trial #3
INFO     guided_infer    used 50.0% of sample space
INFO     testing         running test '62' of frontend source
INFO     testing         output code: 1
INFO     guided_infer    old cost: 63.128491620112
INFO     guided_infer    new cost: 78.0
INFO     guided_infer    all costs: [63.128491620112, 78.0]
INFO     guided_infer    accept ratio: 6.809398934334866e-06
INFO     pymc3           accepted: True
INFO     guided_infer    trial #4
INFO     guided_infer    used 100.0% of sample space
INFO     guided_infer    Sample space exhausted: size=2, samples=[('0',), ('1',)]
INFO     repair          considering suspicious locations [('I', (289, 5, 289, 30))]
INFO     reduction       all failing tests: ['62']
INFO     reduction       select 1 best tests from ['62']
INFO     reduction       select 0 best tests from ['1', '3', '6', '31', '48', '49', '63', '64', '65', '66', '67', '68', '69', '70', '74', '75', '76', '77', '78', '79', '80', '81', '82', '83', '84', '85']
INFO     reduction       selected 1 tests
INFO     reduction       selected passing tests: []
INFO     reduction       selected failing tests: ['62']
INFO     guided_infer    inferring specification for test '62' through guided search
INFO     guided_infer    init sample: [array([0, 1])]
INFO     pymc3           Sequential sampling (1 chains in 1 job)
INFO     pymc3           Metropolis: [p]
INFO     guided_infer    trial #1
INFO     guided_infer    used 0.0% of sample space
INFO     testing         running test '62' of frontend source
INFO     testing         output code: 1
INFO     testing         running test '62' of frontend source
INFO     testing         output code: 1
INFO     guided_infer    old cost: 63.128491620112
INFO     guided_infer    new cost: 63.128491620112
INFO     guided_infer    all costs: [63.128491620112]
